"","variant","period","lower_inf_thresh","heterogen_vl","heterogen_contacts","sampling_freq","prop_self_iso_test","vl_sd_multiplier","name","Median","lo","hi","heterogen_label"
"31","wild","2nd lockdown",FALSE,FALSE,TRUE,NA,0,"Amplified (2× SD)","size",0.088196301258258,0.0821449876635046,0.094440123953608,"Equal VL, overdispersed contacts"
"32","wild","2nd lockdown",FALSE,FALSE,TRUE,NA,0,"Standard (1× SD)","size",0.112284291612987,0.104633535964987,0.12061279232577,"Equal VL, overdispersed contacts"
"33","wild","2nd lockdown",FALSE,TRUE,FALSE,NA,0,"Amplified (2× SD)","size",0.865616543561851,0.81856924530168,0.918637961250059,"Variable VL, Poisson contacts"
"34","wild","2nd lockdown",FALSE,TRUE,FALSE,NA,0,"Standard (1× SD)","size",1.88698189206302,1.74073611540346,2.06034687498727,"Variable VL, Poisson contacts"
"35","wild","2nd lockdown",FALSE,TRUE,TRUE,NA,0,"Amplified (2× SD)","size",0.0838454972548783,0.0778351512450956,0.0912503281105787,"Variable VL, overdispersed contacts"
"36","wild","2nd lockdown",FALSE,TRUE,TRUE,NA,0,"Standard (1× SD)","size",0.112190170821142,0.10040456200041,0.126234246587495,"Variable VL, overdispersed contacts"
"37","wild","2nd lockdown easing",FALSE,FALSE,TRUE,NA,0,"Amplified (2× SD)","size",0.0931875573528304,0.0853428184178436,0.100785384267011,"Equal VL, overdispersed contacts"
"38","wild","2nd lockdown easing",FALSE,FALSE,TRUE,NA,0,"Standard (1× SD)","size",0.116276898170801,0.106672731354594,0.126953373297866,"Equal VL, overdispersed contacts"
"39","wild","2nd lockdown easing",FALSE,TRUE,FALSE,NA,0,"Amplified (2× SD)","size",0.889777007010819,0.844030748782993,0.938060612236838,"Variable VL, Poisson contacts"
"40","wild","2nd lockdown easing",FALSE,TRUE,FALSE,NA,0,"Standard (1× SD)","size",1.80913729500492,1.68352081349537,1.93899178838205,"Variable VL, Poisson contacts"
"41","wild","2nd lockdown easing",FALSE,TRUE,TRUE,NA,0,"Amplified (2× SD)","size",0.0876686995980415,0.0807332630278703,0.0946577475574874,"Variable VL, overdispersed contacts"
"42","wild","2nd lockdown easing",FALSE,TRUE,TRUE,NA,0,"Standard (1× SD)","size",0.128438044449007,0.119885864535169,0.137809126230414,"Variable VL, overdispersed contacts"
