"","year","week","adults","children"
"1",2020,12,3.07303370786517,NA
"2",2020,13,2.71727105101414,NA
"3",2020,14,2.52798053527981,NA
"4",2020,15,2.53167602245389,NA
"5",2020,16,2.31206896551724,NA
"6",2020,17,2.34650455927052,NA
"7",2020,18,1.66880684858213,NA
"8",2020,19,1.87590187590188,3.10931899641577
"9",2020,20,3.16396396396396,3.1503416856492
"10",2020,21,3.08031272210377,3.23033707865169
"11",2020,22,3.22202001819836,3.30622009569378
"12",2020,23,3.28083785880528,3.48969072164948
"13",2020,24,2.60772946859903,3.32042253521127
"14",2020,25,3.625,4.36311787072243
"15",2020,26,3.71754932502596,3.93658536585366
"16",2020,27,4.14022988505747,3.67557251908397
"17",2020,28,3.16938775510204,3.40331491712707
"18",2020,29,2.46961325966851,4.04761904761905
"19",2020,30,4.31796801505174,NA
"20",2020,31,3.2189349112426,3.15679442508711
"21",2020,32,6.53417385534174,4.41225626740947
"22",2020,33,5.52786968694324,6.84285714285714
"23",2020,34,5.28536585365854,6.17982456140351
"24",2020,35,4.50789733464956,5.14591194968553
"25",2020,36,6.39774859287054,5.49333333333333
"26",2020,37,5.00032278889606,21.0769230769231
"27",2020,38,7.99788583509514,20.7094117647059
"28",2020,39,5.03238704518193,13.4086242299795
"29",2020,40,5.45377756921633,14.0622950819672
"30",2020,41,3.45039164490862,8.57709251101322
"31",2020,42,4.56549385332768,10.928
"32",2020,43,4.94459681843116,4.73297002724796
"33",2020,44,4.36962294211365,4.8
"34",2020,45,4.42418772563177,14.4313146233383
"35",2020,46,3.31588132635253,9.8425
"36",2020,47,3.02489082969432,12.6368960468521
"37",2020,48,4.04875804967801,11.8612716763006
"38",2020,49,3.73448687350835,14.8765880217786
"39",2020,50,5.00614091790562,10.7406779661017
"40",2020,51,3.10330188679245,4.19607843137255
"41",2020,52,3.25775401069519,3.2887537993921
"42",2020,53,2.55428186109238,3.09150326797386
"43",2021,1,3.02615765288088,3.26347305389222
"44",2021,2,3.72654690618762,3.41156462585034
"45",2021,3,2.26011102299762,3.48453608247423
"46",2021,4,2.60313828048382,3.20397350993377
"47",2021,5,3.7744874715262,3.80602006688963
"48",2021,6,3.13519313304721,3.50644567219153
"49",2021,7,2.89228598306679,3.30260521042084
"50",2021,8,2.33966244725738,3.56779661016949
"51",2021,9,2.29770043505283,3.38860103626943
"52",2021,10,3.80304878048781,6.26121372031662
"53",2021,11,3.41760372237301,10.260067114094
"54",2021,12,2.39809134287662,9.2258883248731
"55",2021,13,3.75878220140515,17.3675213675214
"56",2021,14,3.59970602645762,5.43647540983607
"57",2021,15,3.21345472938796,5.27551020408163
"58",2021,16,5.09842519685039,10.4639423076923
