dpmeanW,wpmeanW,wrmeanW,dpmeanB,wpmeanB,wrmeanB,dpsd,wpsd,wrsd,iteration,dpmeanW_trans,dpmeanB_trans,wpmeanW_trans,wpmeanB_trans,wrmeanW_trans,wrmeanB_trans
19.983386454076065,1.4965378271856589,4.993332856219566,17.225236136892523,2.3119006161943934,4.2136168553226545,3.6311204032548203,3.703604615587418,3.597529485078894,1,19.983386472944915,17.225254942768196,3.6998679163929022,4.079003197517783,6.266699898348222,5.838735224095296
19.6005639644399,1.6399162508031644,3.2044692946092956,16.26003412692116,2.228042810310283,2.1225444095062445,3.172977396612511,3.5645531676276248,4.339587181286935,2,19.60056396964891,16.26003663825011,3.6576974925940102,3.9364294948133183,5.938371762570084,5.507398910813581
19.68678057323651,2.2238789090267352,4.660459683728877,16.922164691760347,0.8947152294146145,3.5296271447265304,2.802493484738871,4.358553207785304,3.1409472944810144,3,19.686780573253667,16.922164705285986,4.494541650907625,3.9459022635344936,5.752578042618353,5.149933039770079
19.4473165549077,1.717662406495513,4.2999693053774015,17.280619149460716,3.1867910726411823,4.092262811384682,3.9455815569515944,3.734919923246221,3.6193271154552775,4,19.44732288648379,17.280726617293663,3.821878820725086,4.556211518836874,5.899982267093551,5.792888976283221
19.94045238609324,1.6924541040271905,5.261098081531515,16.388599830132787,2.005851491058299,2.248246268187003,3.7281970631857475,4.459386281869718,3.439776079027239,5,19.94045252988177,16.388694530456004,4.3351895559398255,4.466916589136217,6.317916546119762,4.836729658007522
20.212719765628137,1.22928890101853,3.7274744319379067,16.72923841352382,2.2240872366318394,2.1230642373221453,3.1977861436683623,5.050175114932188,3.9694294100674825,6,20.212719762133823,16.729239868077197,4.546884410708279,4.923581219113508,5.882969789486716,5.212283714172523
19.591475979040712,3.861040746631045,5.296689060771721,16.592194410520523,1.043938482655553,3.829443504566755,2.8250297107404028,3.583489070533372,3.756224843087873,7,19.591475979076073,16.592194446940923,4.853252855835515,3.414704014174152,6.555455606238891,5.767057182470522
19.384428469066055,1.944786652406702,4.732949789873737,16.877170359272142,3.218573013568589,3.102606968001495,3.417044151318645,3.3622996825970906,3.364400020431261,8,19.38442859216665,16.877177234346973,3.6470214635429232,4.329428681255014,5.951868180757039,5.126698957989703
19.144642819438992,4.10723287445439,4.49092017470174,16.634352534490905,1.920231419323437,4.090241774168985,2.182724159226916,4.210871463294679,3.3576453304247904,9,19.144642819438992,16.634352534491118,5.338062472719075,4.259317447094082,5.810477007216075,5.595342316234462
19.418136677540527,3.7894379474950073,3.885209488083593,17.365841282046397,0.838927602675027,3.290300925883509,3.825923031842463,3.9410870757035985,3.428898149528497,10,19.41813977448268,17.365892515549614,5.017654876680977,3.6098139481869653,5.544486226363512,5.261107980602905
