country,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90
Afghanistan,2022-03-04,,estimate,0.796893038194521,0.804764923703087,0.0977306188003395,0.664951137705492,0.741841136122843,0.776258500317268,0.819047971739567,0.858010837942415,0.972709088777614
Afghanistan,2022-03-05,,estimate,0.79390398722056,0.800073419015034,0.0888316382292787,0.670794424936842,0.741803283307237,0.77475790721326,0.81396652613258,0.85033979161133,0.953426827421344
Afghanistan,2022-03-06,,estimate,0.791385436682547,0.79559258922273,0.0813741776978328,0.674051060687797,0.741981743086325,0.77297740224258,0.811809121288662,0.843348810887452,0.93292840309836
Afghanistan,2022-03-07,,estimate,0.788604622566306,0.791402128823541,0.0752980083717063,0.67507128442151,0.741523909544848,0.772519088634135,0.806851206664296,0.837140987094367,0.916333445108766
Afghanistan,2022-03-08,,estimate,0.78589798891798,0.787586303343736,0.0704797542345345,0.677752181371232,0.741015921962154,0.770377763966249,0.802396883803267,0.830692535513024,0.90303030038641
Afghanistan,2022-03-09,,estimate,0.783939209782356,0.784230492353711,0.0667474814126751,0.67937703848134,0.740373616026151,0.767821102710536,0.799058828303902,0.82677041316655,0.890713674648737
Afghanistan,2022-03-10,,estimate,0.782183493809396,0.781417320087675,0.0639004505117084,0.677345569298161,0.739111522934978,0.766747894642315,0.797653532924714,0.823063472552775,0.8824183764841
Afghanistan,2022-03-11,,estimate,0.781226280130749,0.779222798928517,0.0617289210773822,0.676890303826564,0.739663676219191,0.765902320853893,0.796001787204198,0.820102620469292,0.875272799029458
Afghanistan,2022-03-12,,estimate,0.780582910791145,0.777712868087905,0.0600300374527456,0.674981311773652,0.740555111894312,0.766262533790293,0.794603769549693,0.817781497064729,0.869310832997732
Afghanistan,2022-03-13,,estimate,0.780755085041849,0.776940610024789,0.0586192315635963,0.67480978991805,0.740471726634394,0.766648342013721,0.793552504368502,0.815932952066453,0.864331247881785
Afghanistan,2022-03-14,,estimate,0.78177879622242,0.776944297827619,0.0573388071323656,0.676472110674014,0.742653310447366,0.767458654687504,0.794068426987846,0.81475782914252,0.860115412049024
Afghanistan,2022-03-15,,estimate,0.782916522479825,0.77774629644615,0.0560650704820102,0.678577072189567,0.74522432537924,0.76908042840989,0.794769177717343,0.814697226577231,0.858829364137609
Afghanistan,2022-03-16,,estimate,0.784233194840855,0.779352738362356,0.0547140915256993,0.681854751620929,0.749114106482019,0.771387008777288,0.796723611059346,0.815215897709564,0.858336081757521
Afghanistan,2022-03-17,,estimate,0.786675156699714,0.781753834184196,0.0532456518048662,0.687749598653694,0.752480742782052,0.774061310935987,0.798173098152344,0.816602966797559,0.858779266411245
Afghanistan,2022-03-18,,estimate,0.78944380574171,0.784924651005961,0.0516653091812035,0.692913202330112,0.75662478106873,0.777842507832467,0.800585776070099,0.818376389298376,0.861607588159164
Afghanistan,2022-03-19,,estimate,0.792368495401877,0.788826176269932,0.0500247853617113,0.70122020226163,0.760609110688771,0.781313113562023,0.803478333198316,0.820945564585605,0.863729192313962
Afghanistan,2022-03-20,,estimate,0.796137734461032,0.793406477500513,0.048420027663418,0.709606967024783,0.764886564105662,0.785236122114702,0.80700544348513,0.824706705789569,0.867459442406675
