"part_id","hh_id","part_age","part_gender"
"F9_600117","HHF9_600117","60-69","M"
"F9_600118","HHF9_600118","60-69","M"
"F9_600121","HHF9_600121","50-59","F"
"F9_600122","HHF9_600122","60-69","M"
"A8_10227","HHA8_10227","30-39","F"
"F9_600123","HHF9_600123","5-11","F"
"F9_600124","HHF9_600124","12-17","F"
"F9_600132","HHF9_600132","30-39","F"
"F9_600133","HHF9_600133","40-49","F"
"F9_600142","HHF9_600142","60-69","M"
"F9_600143","HHF9_600143","30-39","F"
"F9_600144","HHF9_600144","60-69","F"
"F9_600146","HHF9_600146","50-59","M"
"F9_600147","HHF9_600147","50-59","F"
"F9_600153","HHF9_600153","50-59","M"
"A8_10228","HHA8_10228","50-59","M"
"F9_600157","HHF9_600157","70-120","F"
"F9_600158","HHF9_600158","30-39","F"
"F9_600162","HHF9_600162","60-69","F"
"F9_600164","HHF9_600164","70-120","F"
"F9_600168","HHF9_600168","50-59","F"
"F9_600177","HHF9_600177","50-59","F"
"F9_600186","HHF9_600186","70-120","F"
"F9_600187","HHF9_600187","60-69","F"
"F9_600190","HHF9_600190","30-39","F"
"F9_600196","HHF9_600196","50-59","M"
"A8_10230","HHA8_10230","60-69","M"
"F9_600202","HHF9_600202","60-69","F"
"F9_600212","HHF9_600212","12-17","F"
"F9_600215","HHF9_600215","30-39","F"
"F9_600224","HHF9_600224","40-49","F"
"F9_600228","HHF9_600228","30-39","F"
"F9_600230","HHF9_600230","40-49","M"
"F9_600231","HHF9_600231","0-4","F"
"F9_600237","HHF9_600237","40-49","F"
"F9_600238","HHF9_600238","0-4","M"
"F9_600239","HHF9_600239","60-69","M"
"A8_10231","HHA8_10231","50-59","M"
"F9_600243","HHF9_600243","70-120","F"
"F9_600245","HHF9_600245","40-49","F"
"F9_600246","HHF9_600246","40-49","M"
"F9_600252","HHF9_600252","50-59","F"
"F9_600257","HHF9_600257","70-120","M"
"F9_600260","HHF9_600260","30-39","F"
"F9_600277","HHF9_600277","50-59","F"
"F9_600279","HHF9_600279","40-49","F"
"F9_600280","HHF9_600280","60-69","F"
"F9_600286","HHF9_600286","30-39","F"
"A8_10232","HHA8_10232","30-39","M"
"F9_600288","HHF9_600288","5-11","M"
"F9_600292","HHF9_600292","70-120","M"
"F9_600293","HHF9_600293","30-39","F"
"F9_600295","HHF9_600295","50-59","F"
"F9_600303","HHF9_600303","30-39","F"
"F9_600305","HHF9_600305","50-59","F"
"F9_600306","HHF9_600306","70-120","M"
"F9_600313","HHF9_600313","12-17","M"
"F9_600314","HHF9_600314","50-59","M"
"F9_600317","HHF9_600317","60-69","F"
"A8_10235","HHA8_10235","50-59","M"
"F9_600318","HHF9_600318","70-120","M"
"F9_600319","HHF9_600319","30-39","F"
"F9_600320","HHF9_600320","50-59","M"
"F9_600327","HHF9_600327","30-39","F"
"F9_600328","HHF9_600328","12-17","F"
"F9_600334","HHF9_600334","12-17","F"
"F9_600336","HHF9_600336","18-29","F"
"F9_600338","HHF9_600338","60-69","M"
"F9_600340","HHF9_600340","60-69","M"
"F9_600344","HHF9_600344","40-49","F"
"A8_10236","HHA8_10236","40-49","F"
"F9_600348","HHF9_600348","70-120","F"
"F9_600349","HHF9_600349","60-69","M"
"F9_600352","HHF9_600352","30-39","F"
"F9_600354","HHF9_600354","50-59","F"
"F9_600356","HHF9_600356","5-11","F"
"F9_600359","HHF9_600359","70-120","F"
"F9_600360","HHF9_600360","60-69","F"
"F9_600363","HHF9_600363","30-39","F"
"F9_600364","HHF9_600364","40-49","F"
"F9_600365","HHF9_600365","5-11","M"
"A1_11002","HHA1_11002","18-29","M"
"A8_10237","HHA8_10237","30-39","M"
"F9_600368","HHF9_600368","40-49","F"
"F9_600372","HHF9_600372","60-69","F"
"F9_600374","HHF9_600374","30-39","F"
"F9_600381","HHF9_600381","70-120","F"
"F9_600383","HHF9_600383","60-69","F"
"F9_600395","HHF9_600395","40-49","F"
"F9_600399","HHF9_600399","50-59","F"
"F9_600401","HHF9_600401","50-59","M"
"F9_600411","HHF9_600411","60-69","F"
"F9_600412","HHF9_600412","50-59","M"
"A8_10238","HHA8_10238","60-69","F"
"F9_600413","HHF9_600413","70-120","F"
"F9_600414","HHF9_600414","5-11","F"
"F9_600415","HHF9_600415","60-69","F"
"F9_600416","HHF9_600416","30-39","M"
"F9_600419","HHF9_600419","5-11","F"
"F9_600421","HHF9_600421","60-69","F"
"F9_600424","HHF9_600424","30-39","F"
"F9_600426","HHF9_600426","12-17","F"
"F9_600427","HHF9_600427","70-120","M"
"F9_600428","HHF9_600428","50-59","F"
"A8_10239","HHA8_10239","30-39","F"
"F9_600430","HHF9_600430","30-39","F"
"F9_600434","HHF9_600434","40-49","F"
"F9_600437","HHF9_600437","50-59","M"
"F9_600443","HHF9_600443","12-17","F"
"F9_600450","HHF9_600450","18-29","F"
"F9_600453","HHF9_600453","70-120","M"
"F9_600454","HHF9_600454","60-69","F"
"F9_600455","HHF9_600455","60-69","F"
"F9_600462","HHF9_600462","50-59","M"
"F9_600463","HHF9_600463","40-49","F"
"A8_10240","HHA8_10240","60-69","M"
"F9_600464","HHF9_600464","40-49","M"
"F9_600469","HHF9_600469","50-59","M"
"F9_600470","HHF9_600470","50-59","F"
"F9_600472","HHF9_600472","40-49","F"
"F9_600477","HHF9_600477","40-49","M"
"F9_600478","HHF9_600478","70-120","F"
"F9_600484","HHF9_600484","50-59","M"
"F9_600485","HHF9_600485","60-69","F"
"F9_600486","HHF9_600486","60-69","F"
"F9_600488","HHF9_600488","50-59","M"
"A8_10241","HHA8_10241","50-59","F"
"F9_600497","HHF9_600497","50-59","F"
"F9_600499","HHF9_600499","50-59","M"
"F9_600500","HHF9_600500",NA,"F"
"F9_600501","HHF9_600501","70-120","F"
"F9_600502","HHF9_600502","50-59","F"
"F9_600503","HHF9_600503","50-59","F"
"F9_600507","HHF9_600507","60-69","F"
"F9_600510","HHF9_600510","60-69","F"
"F9_600513","HHF9_600513","0-4","F"
"F9_600517","HHF9_600517","50-59","M"
"A8_10243","HHA8_10243","60-69","M"
"F9_600518","HHF9_600518","40-49","F"
"F9_600519","HHF9_600519","50-59","F"
"F9_600520","HHF9_600520","50-59","M"
"F9_600522","HHF9_600522","60-69","F"
"F9_600523","HHF9_600523","40-49","M"
"F9_600524","HHF9_600524","50-59","F"
"F9_600527","HHF9_600527","60-69","M"
"F9_600528","HHF9_600528","70-120","F"
"F9_600531","HHF9_600531","50-59","M"
"F9_600535","HHF9_600535","12-17","M"
"A8_10244","HHA8_10244","30-39","M"
"F9_600538","HHF9_600538","30-39","F"
"F9_600543","HHF9_600543","40-49","F"
"F9_600546","HHF9_600546","40-49","F"
